name|title|year|rank|releasedate|agg_genres
Downey Jr., Robert|The Avengers (2012)|2012|8,2 |2012-05-04|Action;Adventure;Sci-Fi
Roberts, Eric (I)|The King's Guard (2000)|2000|3,0 |2000-08-01|Adventure
Allen, Woody|Anything Else (2003)|2003|6,4 |2003-09-19|Comedy;Romance
Mitchell, Cameron (I)|Pier 5, Havana (1959)|1959|5,3 |1959-10-01|Action;Adventure;Crime;Drama;Mystery
Roberts, Eric (I)|Graves End (2005)|2005|4,8 |2005-04-22|Mystery;Thriller
Eastwood, Clint|Trouble with the Curve (2012)|2012|6,8 |2012-09-21|Drama;Sport
Caan, James (I)|Gardens of Stone (1987)|1987|6,4 |1987-05-08|Drama;Romance;War
Heston, Charlton (I)|Number One (1969)|1969|5,4 |1969-08-21|Drama;Sport
Murphy, Eddie (I)|Dr. Dolittle 2 (2001)|2001|4,6 |2001-06-22|Comedy;Family;Fantasy;Romance
Arkin, Alan|Inspector Clouseau (1968)|1968|4,9 |1968-07-19|Comedy;Crime;Mystery
Fahey, Jeff|Matchmaker Mary (2008)|2008|6,9 |2008-09-01|Family
Bannister, Reggie|Chasing Hollywood (2011)|2011|6,4 |2011-09-23|Documentary
Hill, Terence (I)|Il mio nome è Nessuno (1973)|1973|7,5 |1974-07-17|Comedy;Western
Wang, Yu (I)|Si da tian wang (1974)|1974|6.6 |1975-04-01|Action;Drama
Williamson, Fred|Hell Up in Harlem (1973)|1973|6.1 |1973-12-01|Crime;Drama
Williamson, Fred|Mr. Mean (1977)|1977|5.4 |1977-12-01|Action;Drama
Depardieu, Gérard|Green Card (1990)|1990|6.2 |1991-02-01|Comedy;Drama;Romance
Wahlberg, Mark (I)|The Fighter (2010/I)|2010|7.9 |2010-12-17|Biography;Drama;Sport
Douglas, Michael (I)|Shining Through (1992)|1992|6.3 |1992-01-31|Drama;Romance;Thriller;War
Long, Shelley|Outrageous Fortune (1987)|1987|6.0 |1987-01-30|Comedy
Ford, Harrison (I)|Regarding Henry (1991)|1991|6.7 |1991-07-10|Drama
McDowall, Roddy|Escape from the Planet of the Apes (1971)|1971|6.3 |1971-05-21|Action;Sci-Fi
Fahey, Jeff|Iron Maze (1991)|1991|4.4 |1991-11-01|Drama;Thriller
Gibson, Mel (I)|Conspiracy Theory (1997)|1997|6.7 |1997-08-08|Action;Crime;Mystery;Romance;Thriller
De Niro, Robert|Analyze This (1999)|1999|6.7 |1999-03-05|Comedy;Crime
Martin, Steve (I)|Father of the Bride (1991)|1991|6.4 |1991-12-20|Comedy
Eastwood, Clint|Gary Cooper: American Life, American Legend (1989)|1989|7.0 |1989-11-05|Biography;Documentary
Ford, Harrison (I)|Presumed Innocent (1990)|1990|6.9 |1990-07-27|Crime;Drama;Mystery;Thriller
Damon, Matt|The Bourne Ultimatum (2007)|2007|8.1 |2007-08-03|Action;Thriller
Kalyan, Pawan|Atharintiki Daaredi (2013)|2013|7.4 |2013-09-26|Action;Comedy;Drama
Ameche, Don|Gateway (1938)|1938|5.5 |1938-08-05|Drama
Cusack, John (I)|Serendipity (2001)|2001|6.9 |2001-10-05|Comedy;Romance
Kidman, Nicole|The Interpreter (2005)|2005|6.4 |2005-04-22|Mystery;Thriller
Dillman, Bradford|The Lincoln Conspiracy (1977)|1977|6.5 |1977-10-01|Drama
Avalon, Frankie|Drums of Africa (1963)|1963|5.1 |1963-05-15|Adventure
Williams, Robin (I)|Moscow on the Hudson (1984)|1984|6.5 |1984-04-06|Comedy;Drama;Romance
De Niro, Robert|This Boy's Life (1993)|1993|7.3 |1993-04-23|Biography;Drama
