name|title|year|rank|releasedate|agg_genres
Eastwood, Clint|Tightrope (1984)|1984|6,3 |1984-08-17|Crime;Drama;Mystery;Thriller
Kidman, Nicole|The Stepford Wives (2004)|2004|5,2 |2004-06-11|Comedy;Sci-Fi;Thriller
Reynolds, Burt (I)|Best Friends (1982)|1982|5,3 |1982-12-17|Comedy;Drama;Romance
Fox, Michael J. (I)|Doc Hollywood (1991)|1991|6,1 |1991-08-02|Comedy;Drama;Romance
Willis, Bruce|The Whole Nine Yards (2000)|2000|6,7 |2000-02-18|Comedy;Crime
Chan, Jackie (I)|Sap ji sang ciu (2012)|2012|6,2 |2013-10-18|Action;Adventure
Murray, Bill (I)|Groundhog Day (1993)|1993|8,1 |1993-02-12|Comedy;Romance
Ford, Harrison (I)|Sabrina (1995)|1995|6,2 |1995-12-15|Comedy;Drama
Fraser, Brendan|Extraordinary Measures (2010)|2010|6,5 |2010-01-22|Drama
Wilson, Don 'The Dragon'|Bloodfist II (1990)|1990|4,6 |1990-10-12|Action;Sport
Caan, James (I)|This Is My Father (1998/I)|1998|7,1 |1999-05-07|Drama;Romance
Streep, Meryl|Music of the Heart (1999)|1999|6,7 |1999-10-29|Drama;Music
McDowall, Roddy|Conquest of the Planet of the Apes (1972)|1972|6,1 |1972-06-30|Action;Sci-Fi
Van Damme, Jean-Claude|Inferno (1999/II)|1999|5,0 |1999-09-25|Action;Drama;Romance
Travolta, John (I)|Staying Alive (1983)|1983|4,4 |1983-07-15|Drama;Music;Romance
Connery, Sean|The Sun... the Sand... the Hill. (1965)|1965|6,6 |1965-01-01|Documentary;Short
Costner, Kevin|The Untouchables (1987)|1987|8,0 |1987-06-03|Crime;Drama;Thriller
Belushi, James|Separate Lives (1995)|1995|4,9 |1995-09-08|Drama;Mystery;Romance;Thriller
Heston, Charlton (I)|Two-Minute Warning (1976)|1976|6,0 |1976-11-12|Drama;Thriller
Cusack, John (I)|Hot Tub Time Machine (2010)|2010|6,5 |2010-03-26|Comedy;Sci-Fi
Weller, Peter (I)|Screamers (1995)|1995|6,4 |1996-01-26|Action;Adventure;Horror;Sci-Fi;Thriller
Hamill, Mark (I)|Star Wars (1977)|1977|8,7 |1977-05-25|Action;Adventure;Fantasy;Sci-Fi
Chiranjeevi (I)|Mrugaraaju (2001)|2001|4,1 |2001-02-04|Action;Adventure
Stallone, Sylvester|Rhinestone (1984)|1984|3,6 |1984-06-22|Comedy;Music;Musical
Costner, Kevin|Wyatt Earp (1994)|1994|6,6 |1994-06-24|Action;Adventure;Biography;Romance;Western
Singer, Marc (I)|If You Could See What I Hear (1982)|1982|6,7 |1982-04-23|Biography;Drama
Wahlberg, Mark (I)|Ted (2012)|2012|7,0 |2012-06-29|Comedy;Fantasy
Caine, Michael (I)|Secondhand Lions (2003)|2003|7,6 |2003/09/19|Comedy;Drama;Family
Goldberg, Whoopi|The Associate (1996)|1996|6,0 |1996/10/25|Comedy
Brody, Adrien|The Library Book (2015)|2015|8,3 |2015/06/27|Drama;Short
Eastwood, Clint|City Heat (1984)|1984|5,4 |1984/12/07|Action;Comedy;Crime
Johnson, Dwayne (I)|Race to Witch Mountain (2009)|2009|5,7 |2009/03/13|Action;Adventure;Family;Fantasy;Sci-Fi;Thriller
Martin, Steve (I)|Parenthood (1989)|1989|7,0 |1989/08/02|Comedy;Drama
McDowall, Roddy|It! (1967)|1967|5,4 |1967/11/15|Horror;Sci-Fi
Cage, Nicolas|Adaptation. (2002)|2002|7,7 |2003/02/14|Comedy;Drama
Douglas, Michael (I)|The War of the Roses (1989)|1989|6,8 |1989/12/08|Comedy
Matthau, Walter|First Monday in October (1981)|1981|6,4 |1981/08/21|Comedy;Drama
Schemmel, Sean|Doragon bôru Z: Gekitotsu! Hyakuoku pawâ no senshi (1992)|1992|7,5 |2002/08/13|Adventure;Animation;Fantasy;Sci-Fi
Van Dien, Casper|Abraham Lincoln: Vampire Hunter Sequels (2012)|2012|7,1 |2012/06/21|Comedy;Short
Shatner, William|Impulse (1974)|1974|4,8 |1974/10/01|Horror;Thriller
Reynolds, Ryan (I)|Definitely, Maybe (2008)|2008|7,2 |2008/02/14|Comedy;Drama;Romance
Banderas, Antonio|Spy Kids (2001)|2001|5,4 |2001/03/30|Action;Adventure;Comedy;Family;Sci-Fi
Jackson, Samuel L.|The Negotiator (1998)|1998|7,3 |1998/07/29|Action;Crime;Drama;Mystery;Thriller
Falk, Peter (I)|Three Days to Vegas (2007)|2007|4,7 |2007/01/01|Comedy;Romance
Seagal, Steven|Above the Law (1988)|1988|5.9 |1988/04/22|Action;Crime;Drama;Thriller
Hanks, Tom|Magnificent Desolation: Walking on the Moon 3D (2005)|2005|7.1 |2005/09/23|Animation;Documentary;Short
McGregor, Ewan|The Island (2005)|2005|6.9 |2005/07/22|Action;Adventure;Sci-Fi;Thriller
Gibson, Mel (I)|Maverick (1994)|1994|7.0 |1994/05/20|Action;Adventure;Comedy;Thriller;Western
Nicholson, Jack (I)|The Last Detail (1973)|1973|7.6 |1974/02/15|Comedy;Drama
Hanks, Tom|Joe Versus the Volcano (1990)|1990|5.7 |1990/03/09|Comedy;Romance
Long, Shelley|A Very Brady Sequel (1996)|1996|5.5 |1996/08/23|Comedy
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro aiaigasa (1975)|1975|7.5 |1977/06/12|Comedy
Saxon, John|The Bees (1978)|1978|2.9 |1978/11/01|Horror;Sci-Fi;Thriller
Norris, Chuck|Top Dog (1995)|1995|4.0 |1995/04/28|Action;Comedy;Crime;Thriller
Williams, Robin (I)|Cadillac Man (1990)|1990|5.6 |1990/05/18|Comedy;Crime
Schwarzenegger, Arnold|Terminator Genisys (2015)|2015|6.9 |2015/07/01|Action;Adventure;Sci-Fi;Thriller
Cage, Nicolas|Lord of War (2005)|2005|7.6 |2005/09/16|Crime;Drama;Thriller
Chiranjeevi (I)|Andarivaadu (2005)|2005|4.3 |2005/06/03|Comedy
Hackman, Gene|Uncommon Valor (1983)|1983|6.3 |1983/12/16|Action;Drama;Thriller;War
Banderas, Antonio|The SpongeBob Movie: Sponge Out of Water (2015)|2015|6.1 |2015/02/06|Adventure;Animation;Comedy;Family
Depp, Johnny|Benny & Joon (1993)|1993|7.2 |1993/04/23|Comedy;Drama;Romance
Snipes, Wesley|Blade II (2002)|2002|6.7 |2002/03/22|Action;Horror;Sci-Fi;Thriller
Wahl, Ken|Race for the Yankee Zephyr (1981)|1981|5.7 |1984/04/01|Action;Adventure;Drama
Depp, Johnny|Pirates of the Caribbean: The Curse of the Black Pearl (2003)|2003|8.1 |2003/07/09|Action;Adventure;Fantasy
Williams, Robin (I)|The World According to Garp (1982)|1982|7.2 |1982/08/13|Comedy;Drama
Urban, Karl|Pathfinder (2007)|2007|5.4 |2007/04/13|Action;Adventure;Drama;Thriller
Wang, Yu (I)|Ba wang quan (1972)|1972|6.9 |1976/04/01|Action;Crime
Travolta, John (I)|Swordfish (2001)|2001|6.5 |2001/06/08|Action;Crime;Thriller
Ford, Harrison (I)|The Mosquito Coast (1986)|1986|6.6 |1986/11/26|Adventure;Drama;Thriller
Kumar, Akshay (I)|Andaaz (2003)|2003|5.4 |2003/05/23|Drama;Musical;Romance
Johnson, Dwayne (I)|The Rundown (2003)|2003|6.7 |2003/09/26|Action;Adventure;Comedy;Thriller
Reeves, Keanu|Johnny Mnemonic (1995)|1995|5.5 |1995/05/26|Action;Crime;Sci-Fi;Thriller
Dreyfuss, Richard|Lost in Yonkers (1993)|1993|6.7 |1993/05/14|Comedy;Drama
Reynolds, Burt (I)|Forget About It (2006)|2006|4.3 |2006/10/14|Comedy;Drama
Shatner, William|Star Trek: The Wrath of Khan (1982)|1982|7.7 |1982/06/04|Action;Adventure;Drama;Sci-Fi;Thriller
Gyllenhaal, Jake|End of Watch (2012)|2012|7.7 |2012/09/21|Crime;Drama;Thriller
Broderick, Matthew (I)|Dirty Weekend (2015)|2015|7.1 |2015/09/04|Comedy;Drama
Snipes, Wesley|One Night Stand (1997)|1997|5.9 |1997/11/14|Drama;Romance
Norris, Chuck|Silent Rage (1982)|1982|5.4 |1982/04/02|Action;Horror;Sci-Fi;Thriller
Storch, Larry|Hocus Pocus Powwow (1968)|1968|4.7 |1968/01/13|Animation;Comedy;Family;Short
Moore, Roger (I)|007 in Rio (1979)|1979|6.6 |1979/01/01|Documentary;Short
LaBeouf, Shia|Transformers (2007)|2007|7.1 |2007-07-03|Action;Adventure;Sci-Fi
Brosnan, Pierce|Dolphins (2000)|2000|7.2 |2000-04-14|Documentary;Short
Long, Shelley|Hello Again (1987)|1987|5.0 |1987-11-06|Comedy;Drama;Fantasy;Romance
Williams, Robin (I)|Fathers' Day (1997)|1997|5.1 |1997-05-09|Comedy;Romance
Santo (III)|Santo contra los zombies (1962)|1962|5.7 |1962-01-01|Action;Adventure;Horror;Sci-Fi
Candy, John|Armed and Dangerous (1986)|1986|5.5 |1986-08-15|Action;Comedy;Crime
Kumar, Akshay (I)|Chandni Chowk to China (2009)|2009|3.9 |2009-01-16|Action;Adventure;Comedy;Drama;Fantasy;Musical
Kirk, Tommy|Village of the Giants (1965)|1965|3.3 |1965-10-20|Comedy;Sci-Fi
Washington, Denzel|He Got Game (1998)|1998|6.9 |1998-05-01|Drama;Sport
Shaw, Scott (I)|Samurai Vampire Bikers from Hell (1992)|1992|6.9 |1992-12-07|Action
Carradine, David|Dune Warriors (1991)|1991|3.7 |1991-01-18|Action;Adventure;Sci-Fi
Crowe, Russell|The Next Three Days (2010)|2010|7.4 |2010-11-19|Crime;Drama;Romance;Thriller
Bridges, Jeff (I)|Crazy Heart (2009)|2009|7.3 |2010-02-05|Drama;Music;Romance
Chiang, David|Shi zi mo hou shou (1978)|1978|6.4 |1981-01-01|Action
Lawrence, Martin (I)|Big Mommas: Like Father, Like Son (2011)|2011|4.3 |2011-02-18|Action;Comedy;Crime
Russell, Kurt (I)|Executive Decision (1996)|1996|6.4 |1996-03-15|Action;Adventure;Thriller
LaBeouf, Shia|Maniac (2011/I)|2011|7.1 |2011-10-31|Horror;Short;Thriller
Benoit, Morgan (I)|Brutal (2014)|2014|7.3 |2014-10-01|Action;Drama;Horror;Sci-Fi;Sport
Lambert, Christopher (I)|Mean Guns (1997)|1997|5.8 |1997-11-21|Action;Crime;Thriller
Kirk, Tommy|The Ghost in the Invisible Bikini (1966)|1966|3.6 |1966-04-06|Comedy;Horror;Musical
Carrey, Jim|Ace Ventura: When Nature Calls (1995)|1995|6.3 |1995-11-10|Adventure;Comedy
Sheen, Charlie|Major League II (1994)|1994|5.4 |1994-03-30|Comedy;Sport
Gooding Jr., Cuba|Snow Dogs (2002)|2002|5.1 |2002-01-18|Adventure;Comedy;Family;Sport
Kidman, Nicole|To Die For (1995)|1995|6.8 |1995-10-06|Comedy;Crime;Drama
De Niro, Robert|The Swap (1979)|1979|3.5 |1979-10-12|Crime;Drama
Sandler, Adam (I)|Just Go with It (2011)|2011|6.4 |2011-02-11|Comedy;Romance
Theron, Charlize|Astro Boy (2009)|2009|6.4 |2009-10-23|Action;Animation;Family;Sci-Fi
Carradine, David|Armed Response (1986)|1986|4.8 |1986-10-03|Action;Crime;Thriller
Stallone, Sylvester|Daylight (1996)|1996|5.8 |1996-12-06|Action;Adventure;Drama;Thriller
Hanks, Tom|Toy Story 3 (2010)|2010|8.4 |2010-06-18|Adventure;Animation;Comedy;Family;Fantasy
Smith, Will (I)|Ali (2001)|2001|6.7 |2001-12-25|Biography;Drama;Sport
Field, Sally|Norma Rae (1979)|1979|7.3 |1979-03-02|Drama
Price, Vincent (I)|House of Wax (1953)|1953|7.1 |1953-04-25|Crime;Horror
Wilson, Don 'The Dragon'|Whatever It Takes (1998/II)|1998|4.3 |1998-11-13|Action
Bullock, Sandra|All About Steve (2009)|2009|4.8 |2009-09-04|Comedy;Romance
Avalon, Frankie|Ski Party (1965)|1965|5.1 |1965-06-30|Comedy;Musical
Cusack, John (I)|1408 (2007)|2007|6.8 |2007-06-22|Horror
Matthau, Walter|House Calls (1978)|1978|6.8 |1978-03-15|Comedy;Drama;Romance
Carrey, Jim|The Itsy Bitsy Spider (1992)|1992|6.0 ||Animation;Comedy;Short
Dillman, Bradford|Francis of Assisi (1961)|1961|6.5 |1961-07-12|Biography;Drama;History
Russell, Kurt (I)|Backdraft (1991)|1991|6.7 |1991-05-24|Action;Crime;Drama;Mystery;Thriller
Cruise, Tom|Knight and Day (2010)|2010|6.3 |2010-06-23|Action;Comedy;Romance
Arkin, Alan|Chu Chu and the Philly Flash (1981)|1981|3.8 |1981-08-28|Comedy
Vaughn, Vince|The Dilemma (2011)|2011|5.3 |2011-01-14|Comedy;Drama
Pearce, Guy (I)|Ravenous (1999)|1999|7.1 |1999-03-19|Horror;Thriller
Butler, Gerard|The Game of Their Lives (2005)|2005|6.2 |2005-04-22|Drama;History;Sport
Stewart, Patrick (I)|Star Trek: Insurrection (1998)|1998|6.4 |1998-12-11|Action;Adventure;Sci-Fi;Thriller
Diesel, Vin|Fast & Furious (2009)|2009|6.6 |2009-04-03|Action;Crime;Drama;Thriller
Jones, Tommy Lee|Volcano (1997)|1997|5.4 |1997-04-25|Action;Drama;Sci-Fi;Thriller
Murphy, Eddie (I)|I Spy (2002)|2002|5.4 |2002-11-01|Action;Adventure;Comedy;Thriller
Caine, Michael (I)|Educating Rita (1983)|1983|7.2 |1983-09-21|Drama
Wahlberg, Mark (I)|Contraband (2012)|2012|6.5 |2012-01-13|Action;Crime;Drama;Thriller
Nielsen, Leslie|Hot Summer Night (1957)|1957|5.8 |1957-02-01|Crime;Drama
Clooney, George|Three Kings (1999)|1999|7.2 |1999-10-01|Action;Adventure;Comedy;Drama;War
Baker, Joe Don|Framed (1975)|1975|6.4 |1975-08-01|Action;Crime;Drama
Nolte, Nick|I Love Trouble (1994)|1994|5.2 |1994-06-29|Action;Comedy;Romance
Atsumi, Kiyoshi|Otoko wa tsurai yo: Watashi no tora-san (1973)|1973|6.6 |1974-05-22|Comedy
Sheen, Charlie|The Three Musketeers (1993)|1993|6.3 |1993-11-12|Action;Adventure;Comedy;Family;Romance
McGregor, Ewan|The Ghost Writer (2010)|2010|7.2 |2010-03-19|Crime;Drama;Mystery;Thriller
Ford, Harrison (I)|Witness (1985)|1985|7.5 |1985-02-08|Crime;Drama;Romance;Thriller
Smith, Will (I)|Wild Wild West (1999)|1999|4.8 |1999-06-30|Action;Comedy;Sci-Fi;Western
Nolte, Nick|48 Hrs. (1982)|1982|6.9 |1982-12-08|Action;Comedy;Crime;Drama;Thriller
Shaw, Scott (I)|Undercover X (2001)|2001|7.2 |2001-07-07|Action
Chiranjeevi (I)|Shankar Dada MBBS (2004)|2004|7.3 |2004-10-15|Comedy
Le, Bruce|Xiong zhong (1982)|1982|5.1 |1982-09-01|Action;Drama
McClure, Doug (I)|At the Earth's Core (1976)|1976|5.2 |1976-07-01|Adventure;Fantasy;Sci-Fi
Depp, Johnny|From Hell (2001)|2001|6.8 |2001-10-19|Horror;Mystery;Thriller
Bullock, Sandra|The Blind Side (2009)|2009|7.7 |2009-11-20|Biography;Drama;Sport
Schwarzenegger, Arnold|The Terminator (1984)|1984|8.1 |1984-10-26|Action;Sci-Fi
Pine, Chris (I)|Jack Ryan: Shadow Recruit (2014)|2014|6.2 |2014-01-17|Action;Thriller
Chan, Jackie (I)|Fei ying gai wak (1991)|1991|7.2 |1997-07-18|Action;Adventure;Comedy;Crime;Thriller
Paltrow, Gwyneth|Sky Captain and the World of Tomorrow (2004)|2004|6.1 |2004-09-17|Action;Adventure;Mystery;Sci-Fi;Thriller
Bullock, Sandra|The Net (1995)|1995|5.8 |1995-07-28|Action;Crime;Drama;Mystery;Thriller
Ameche, Don|Something to Shout About (1943)|1943|6.0 |1943-02-25|Musical
Damon, Matt|Good Will Hunting (1997)|1997|8.3 |1998-01-09|Drama
Diaz, Cameron|The Holiday (2006)|2006|6.9 |2006-12-08|Comedy;Romance
Nicholson, Jack (I)|Wolf (1994)|1994|6.2 |1994-06-17|Drama;Horror;Romance;Thriller
O'Keeffe, Miles|Ator l'invincibile (1982)|1982|2.9 |1983-03-01|Action;Adventure;Fantasy
Chiranjeevi (I)|Tagore (2003)|2003|7.7 |2003-09-24|Action;Drama
Travolta, John (I)|Look Who's Talking Now (1993)|1993|4.1 |1993-11-05|Comedy;Family;Romance
Ginty, Robert|Programmed to Kill (1987)|1987|3.8 |1987-04-01|Action;Sci-Fi
Stallone, Sylvester|Demolition Man (1993)|1993|6.6 |1993-10-08|Action;Crime;Sci-Fi;Thriller
Chase, Chevy|Fletch (1985)|1985|6.9 |1985-05-31|Comedy;Crime;Mystery
O'Neal, Ryan (I)|Nickelodeon (1976)|1976|6.2 |1976-12-21|Comedy
Dreyfuss, Richard|Once Around (1991)|1991|6.5 |1991-02-01|Comedy;Drama;Romance
Hawn, Goldie|CrissCross (1992)|1992|5.7 |1992-05-08|Crime;Drama
Stiller, Ben|Tower Heist (2011)|2011|6.2 |2011-11-04|Action;Comedy;Crime
Nicholson, Jack (I)|The Postman Always Rings Twice (1981)|1981|6.6 |1981-03-20|Crime;Drama;Romance;Thriller
Moore, Dudley|Six Weeks (1982)|1982|5.6 |1982-12-24|Drama
Kline, Kevin (I)|Dave (1993)|1993|6.8 |1993-05-07|Comedy;Romance
Caine, Michael (I)|Deathtrap (1982)|1982|7.0 |1982-03-19|Comedy;Crime;Mystery;Thriller
Lawrence, Martin (I)|Talkin' Dirty After Dark (1991)|1991|5.0 |1991-08-16|Comedy
Gooding Jr., Cuba|A Murder of Crows (1998)|1998|6.4 |1999-07-06|Action;Crime;Thriller
Reeves, Keanu|John Wick (2014)|2014|7.2 |2014-10-24|Action;Thriller
Ginty, Robert|The Bounty Hunter (1990)|1990|4.3 |1989-08-27|Action;Crime
Travolta, John (I)|A Civil Action (1998)|1998|6.5 |1999-01-08|Drama
Eastwood, Clint|Per un pugno di dollari (1964)|1964|8.1 |1967-01-18|Action;Drama;Western
MacLaine, Shirley|The Possession of Joel Delaney (1972)|1972|5.9 |1972-05-24|Drama;Horror;Thriller
Damon, Matt|The Rainmaker (1997)|1997|7.1 |1997-11-21|Crime;Drama;Thriller
Stewart, Patrick (I)|Masterminds (1997)|1997|5.2 |1997-08-22|Action;Comedy;Thriller
Carradine, David|Money to Burn (2010)|2010|5.3 |2010-01-01|Action;Comedy
Aiello, Danny|Unforgotten: Twenty-Five Years After Willowbrook (1996)|1996|6.3 |1997-02-14|Documentary
Cruise, Tom|Vanilla Sky (2001)|2001|6.9 |2001-12-14|Fantasy;Mystery;Romance;Sci-Fi;Thriller
Reynolds, Burt (I)|Sam Whiskey (1969)|1969|5.9 |1969-04-01|Comedy;Western
Roberts, Eric (I)|Power 98 (1996)|1996|4.5 |1996-05-17|Action;Mystery;Thriller
Quaid, Dennis|Vantage Point (2008)|2008|6.6 |2008-02-22|Action;Crime;Drama;Thriller
Kilmer, Val|Provinces of Night (2010)|2010|6.2 |2011-05-20|Drama;Romance
Douglas, Michael (I)|The Ghost and the Darkness (1996)|1996|6.8 |1996-10-11|Adventure;Drama;Thriller
Jackman, Hugh|Van Helsing (2004)|2004|6.0 |2004-05-07|Action;Adventure;Fantasy;Mystery;Thriller
Cube, Ice|First Sunday (2008)|2008|4.2 |2008-01-11|Comedy;Crime;Drama
Heston, Charlton (I)|Midway (1976)|1976|6.7 |1976-06-18|Action;Drama;History;War
Avalon, Frankie|Back to the Beach (1987)|1987|5.6 |1987-08-07|Comedy;Musical
Beatty, Warren (I)|McCabe & Mrs. Miller (1971)|1971|7.7 |1971-06-24|Drama;Western
Depardieu, Gérard|La tête en friche (2010)|2010|7.2 |2011-09-16|Comedy;Drama
Russell, Kurt (I)|The Mean Season (1985)|1985|6.1 |1985-02-15|Crime;Thriller
Travolta, John (I)|Mad City (1997)|1997|6.2 |1997-11-07|Crime;Drama;Thriller
Quaid, Dennis|Dreamscape (1984)|1984|6.3 |1984-08-15|Adventure;Horror;Sci-Fi;Thriller
Washington, Denzel|For Queen & Country (1988)|1988|5.7 |1989-05-19|Crime;Drama
Owen, Clive (I)|Last Knights (2015)|2015|6.2 |2015-04-03|Action;Adventure
Shatner, William|A Whale of a Tale (1976)|1976|7.5 |1977-02-01|Comedy;Drama;Family
Sandler, Adam (I)|Spanglish (2004)|2004|6.5 |2004-12-17|Comedy;Drama;Romance
Heston, Charlton (I)|Pony Express (1953)|1953|5.8 |1953-05-01|History;Western
Clooney, George|Ocean's Eleven (2001)|2001|7.8 |2001-12-07|Crime;Thriller
Atsumi, Kiyoshi|Otoko wa tsurai yo: Fûten no Tora (1970)|1970|7.0 |1973-10-20|Comedy
Witherspoon, Reese|Hot Pursuit (2015)|2015|4.9 |2015-05-08|Action;Comedy;Crime
Duchovny, David|Full Frontal (2002)|2002|4.8 |2002-08-02|Comedy;Romance
York, Michael (I)|Moscow Heat (2004)|2004|4.9 |2005-11-08|Action;Drama
Hauer, Rutger|Split Second (1992)|1992|6.2 |1992-05-01|Action;Crime;Horror;Sci-Fi;Thriller
Kline, Kevin (I)|The January Man (1989)|1989|5.5 |1989-01-13|Action;Crime;Mystery;Thriller
Streisand, Barbra (I)|The Main Event (1979)|1979|5.9 |1979-06-22|Comedy;Romance;Sport
Seagal, Steven|Marked for Death (1990)|1990|5.8 |1990-10-05|Action;Adventure;Crime;Drama;Thriller
Hawn, Goldie|Swing Shift (1984)|1984|5.9 |1984-04-13|Comedy;Drama
Damon, Matt|The Bourne Identity (2002)|2002|7.9 |2002-06-14|Action;Mystery;Thriller
Sheen, Charlie|Hot Shots! (1991)|1991|6.7 |1991-07-31|Action;Comedy
Sandler, Adam (I)|Eight Crazy Nights (2002)|2002|5.4 |2002-11-27|Animation;Comedy;Drama;Musical
Dudikoff, Michael|River of Death (1989)|1989|4.1 |1989-09-29|Adventure
Travolta, John (I)|Hairspray (2007)|2007|6.8 |2007-07-20|Comedy;Musical;Romance
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajirô haru no yume (1979)|1979|7.3 |1980-06-01|Comedy;Romance
Gyllenhaal, Jake|Southpaw (2015)|2015|7.9 |2015-07-24|Action;Drama;Sport;Thriller
Broderick, Matthew (I)|Inspector Gadget (1999)|1999|4.1 |1999-07-23|Action;Adventure;Comedy;Family;Sci-Fi
Williamson, Fred|Original Gangstas (1996)|1996|5.6 |1996-05-10|Action;Crime;Drama;Thriller
Hauer, Rutger|7eventy 5ive (2007)|2007|4.7 |2007-08-24|Horror;Thriller
Carell, Steve|The Way Way Back (2013)|2013|7.4 |2013-07-26|Comedy;Drama
Bridges, Jeff (I)|See You in the Morning (1989)|1989|5.8 |1989-04-14|Drama;Romance
Fonda, Peter (I)|Futureworld (1976)|1976|5.8 |1976-08-13|Sci-Fi;Thriller
Williamson, Fred|Mean Johnny Barrows (1976)|1976|4.9 |1976-01-01|Action;Crime;Drama
Belushi, James|Curly Sue (1991)|1991|5.7 |1991-10-25|Comedy;Drama;Family;Romance
Smith, Will (I)|Seven Pounds (2008)|2008|7.7 |2008-12-19|Drama
Slater, Christian (I)|Sofia (2012/I)|2012|3.6 |2012-08-03|Action;Drama;Thriller
Caine, Michael (I)|Without a Clue (1988)|1988|7.0 |1988-10-21|Comedy;Crime;Mystery
Saxon, John|Cry Tough (1959)|1959|6.2 |1959-08-01|Crime;Drama
Schemmel, Sean|Doragon bôru Z: Chô saiyajin da Son Gokû (1991)|1991|6.9 |2001-08-07|Action;Animation;Fantasy;Sci-Fi
Santo (III)|El puño de la muerte (1982)|1982|4.2 |1982-01-01|Action;Adventure;Sci-Fi
Washington, Denzel|American Gangster (2007)|2007|7.8 |2007-11-02|Biography;Crime;Drama
Schwarzenegger, Arnold|True Lies (1994)|1994|7.2 |1994-07-15|Action;Comedy;Thriller
Lambert, Christopher (I)|To Kill a Priest (1988)|1988|6.2 |1989-10-13|Drama;History;Thriller
Reynolds, Burt (I)|Smokey and the Bandit (1977)|1977|6.8 |1977-05-27|Action;Comedy
Sandler, Adam (I)|Anger Management (2003)|2003|6.2 |2003-04-11|Comedy
Franchi, Franco|Don Franco e Don Ciccio nell'anno della contestazione (1970)|1970|5.6 |1973-01-01|Comedy
Ameche, Don|Cocoon (1985)|1985|6.6 |1985-06-21|Sci-Fi
Damon, Matt|The Informant! (2009)|2009|6.5 |2009-09-18|Comedy;Crime;Drama;Thriller
Reeve, Christopher|Superman IV: The Quest for Peace (1987)|1987|3.7 |1987-07-24|Action;Adventure;Family;Fantasy;Sci-Fi
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro yumemakura (1972)|1972|7.0 |1973-05-01|Comedy
Nozawa, Masako|Doragon bôru Z: Ryûken bakuhatsu!! Gokû ga yaraneba dare ga yaru (1995)|1995|7.8 |2006-08-22|Action;Animation;Sci-Fi
Theron, Charlize|Trapped (2002)|2002|6.2 |2002-09-20|Crime;Drama;Thriller
Kumar, Akshay (I)|Heyy Babyy (2007)|2007|5.7 |2007-08-24|Comedy;Drama
Ginty, Robert|Warrior of the Lost World (1983)|1983|2.2 |1985-09-01|Action;Sci-Fi
Willis, Bruce|Last Man Standing (1996)|1996|6.4 |1996-09-20|Action;Crime;Drama;Thriller
Storch, Larry|Big Game Haunt (1968)|1968|4.7 |1968-02-10|Animation;Comedy;Family;Fantasy;Short
Wallace, Dee (II)|Critters (1986)|1986|6.0 |1986-04-11|Action;Comedy;Horror;Sci-Fi;Thriller
Roberts, Eric (I)|The Ambulance (1990)|1990|5.8 |1990-03-31|Action;Comedy;Horror;Romance;Thriller
Murphy, Eddie (I)|Norbit (2007)|2007|3.9 |2007-02-09|Comedy;Drama;Romance
Atsumi, Kiyoshi|Otoko wa tsurai yo: Torajiro yuuyake koyake (1976)|1976|7.6 |1977-05-06|Comedy
Russell, Kurt (I)|Used Cars (1980)|1980|6.8 |1980-07-11|Comedy
De Niro, Robert|Goodfellas (1990)|1990|8.7 |1990-09-21|Biography;Crime;Drama
Fraser, Brendan|George of the Jungle (1997)|1997|5.4 |1997-07-16|Action;Adventure;Comedy;Family;Romance
Falk, Peter (I)|Checking Out (2005)|2005|6.2 |2006-12-19|Comedy
Ferrell, Will (I)|Step Brothers (2008)|2008|6.9 |2008-07-25|Comedy
Matthau, Walter|Little Miss Marker (1980)|1980|6.2 |1980-03-21|Comedy;Drama;Romance
Ameche, Don|Kiss the Boys Goodbye (1941)|1941|5.9 |1941-08-01|Musical
Hanks, Tom|Charlie Wilson's War (2007)|2007|7.1 |2007-12-21|Biography;Comedy;Drama;History
Travolta, John (I)|Old Dogs (2009/I)|2009|5.3 |2009-11-25|Comedy;Family
Aykroyd, Dan|Getting Away with Murder (1996)|1996|4.5 |1996-04-12|Comedy
Cusack, John (I)|Money for Nothing (1993)|1993|5.7 |1993-09-10|Comedy;Crime;Drama
Connery, Sean|Family Business (1989)|1989|5.6 |1989-12-15|Comedy;Crime;Drama
Vaughn, Vince|Couples Retreat (2009)|2009|5.5 |2009-10-09|Comedy
Reynolds, Burt (I)|Shark! (1969)|1969|4.4 |1969-10-08|Action;Adventure;Thriller
Ferrell, Will (I)|The Campaign (2012)|2012|6.2 |2012-08-10|Comedy
Depp, Johnny|Dead Man (1995)|1995|7.7 |1996-05-10|Drama;Fantasy;Western
Crowe, Russell|Mystery, Alaska (1999)|1999|6.6 |1999-10-01|Comedy;Drama;Sport
Moore, Roger (I)|That Lucky Touch (1975)|1975|4.6 |1975-12-01|Comedy
Midler, Bette|Scenes from a Mall (1991)|1991|5.2 |1991-02-22|Comedy
Quaid, Dennis|The Rookie (2002)|2002|7.0 |2002-03-29|Drama;Family;Sport
Kilmer, Val|At First Sight (1999)|1999|5.9 |1999-01-15|Drama;Romance
Stallone, Sylvester|Rocky (1976)|1976|8.1 |1976-12-03|Drama;Sport
