movieid;actorid;as_character
2357497;333751;[Jackie Chan]  <33>
2617148;333751;[Asian Hawk/Condor/Jackie]  <1>
2799660;333751;(voice)  [Monkey]  <5>
3253889;333751;[Mr. Han]  <2>
3283312;333751;[Billy Wong]  <1>
3297393;333751;[Bob Ho]  <1>
3305782;333751;[Jimmy Tong]  <1>
3323777;333751;(as Chen Yuen Lung)  [Japanese extra]
3423004;348515;(as John Chiang)  [Chan Pak-Kwong]  <10>
2474340;348913;(as Sonny Chiba)  [Ryuichi Koga]  <1>
2703864;348913;(as Sonny Chiba)  [Mr. Magic/Interpol Inspector]  <2>
2988104;348913;(as Sonny Chiba)  [Seiichi Hibiki]
3216626;348913;(as Sony Chiba)  [Prince Ido]  <8>
3235134;348913;(as JJ Sonny Chiba)  [Uncle Kamata]  <49>
3420389;348913;(as Sonny Chiba)  [Jûbê Yagyû]  <2>
2362005;351414;(as Mega Star Chiranjeevi)  [Govindarajulu/Sidhartha/Govind 'Govinda' Raj/Siddharth 'Sidhu' G. Raj]  <1>
2365478;351414;[Anji/Arjun]  <1>
2931048;351414;[Raju]  <1>
3159107;351414;[Stalin]  <1>
3185977;351414;[Ravindranath Tagore]  <1>
2763913;355346;[Yuan Shikai]  <12>
3023221;355346;(as Chow Yun-Fat)  [Captain Sao Feng]  <24>
3418845;355346;[Jade Emperor]  <2>
2490841;372570;[Jim Byrd]  <17>
2640468;372570;[Seth Gecko]  <1>
2643483;372570;[Himself/Seth Gecko]  <9>
2669903;372570;[Matt Kowalski]  <2>
3055513;372570;[Himself]
3071038;372570;[Oliver]  <15>
3157444;372570;[Devlin]  <22>
3182648;372570;[Bob Barnes]  <2>
3246358;372570;[Lip Syncing Transvestite]  <23>
2563266;390352;[James Bond]  <1>
2563267;390352;(archive footage)  [James Bond]
2698997;390352;[Juan Sanchez Villa-Lobos Ramirez]  <4>
2894137;390352;[Mark Rutland]  <2>
2904747;390352;(uncredited)  [Sean Connery]
3078295;390352;(uncredited)  [King Richard]
3250040;390352;[Marko Ramius]  <1>
3258512;390352;[Allan Quatermain]  <1>
3273444;390352;[Khalil Abdul-Muhsen]  <1>
3281848;390352;[Lt. Col. Alan Caldwell]  <1>
3288621;390352;[John Patrick Mason]  <1>
3289732;390352;[Barley]  <1>
3300064;390352;[Himself]  <1>
3357142;390352;(uncredited)  [Himself]
2354185;406793;(voice)
2603152;406793;(voice)  [Himself - Narrator]  <1>
2907241;406793;[Garret Blake]  <1>
3078295;406793;[Robin Hood]  <1>
3158638;406793;[Will Bonner]  <2>
3281333;406793;[The Postman]  <1>
3309921;406793;[Stephen Simmons]  <2>
3318362;406793;[Kenny O'Donnell]  <2>
3326337;406793;[Roy McAvoy]  <1>
