movieid;title;year;rank;releasedate
3100375;Savages (2012);2012;6.5 ;2012-07-06
3425630;You're Still Not Fooling Anybody (1997);1997;3.5 ;1997-02-07
2354814;American Flyer (2010);2010;6.3 ;2011-07-05
2442428;Bubble Boy (2001);2001;5.6 ;2001-08-24
2489733;Con Air (1997);1997;6.8 ;1997-06-06
2528623;Delta Farce (2007);2007;3.4 ;2007-05-11
2640468;From Dusk Till Dawn (1996);1996;7.3 ;1996-01-19
2958541;Nightstalker (2002);2002;3.4 ;2002-11-10
3087065;Runaway Train (1985);1985;7.3 ;1985-12-06
3247497;The Hidden (1987);1987;7.0 ;1987-10-30
2561344;Double Impact (1991);1991;5.4 ;1991-08-09
2683898;Hard Target (1993);1993;6.1 ;1993-08-20
2761121;Jean-Claude Van Damage (2014);2014;5.8 ;2014-02-18
2763907;Jian Bing Man (2015);2015;6.6 ;2015-07-24
3233618;The Expendables 2 (2012);2012;6.7 ;2012-08-17
3363605;Universal Soldier: The Return (1999);1999;4.1 ;1999-08-20
2432854;Born to Ride (2011);2011;3.5 ;2011-07-26
2563478;Dracula 3000 (2004);2004;2.0 ;2004-08-09
2981970;Omega Syndrome (1986);1986;4.2 ;1987-01-23
2298871;2 Guns (2013);2013;6.8 ;2013-08-02
2595637;Entourage (2015);2015;7.2 ;2015-06-03
3235911;The Fighter (2010/I);2010;7.9 ;2010-12-17
3394977;We Own the Night (2007);2007;6.9 ;2007-10-12
2298834;2 Fast 2 Furious (2003);2003;5.8 ;2003-06-06
3087330;Running Scared (2006);2006;7.5 ;2006-02-24
2327692;A chow bei mat ging chaat (1966);1966;6.2 ;1969-02-01
2843968;Leng mian hu (1973);1973;7.1 ;1981-06-01
2298871;2 Guns (2013);2013;6.8 ;2013-08-02
3035224;Power (1986);1986;5.7 ;1986-01-31
3213687;The Bone Collector (1999);1999;6.6 ;1999-11-05
2391110;Bada$$ Mothaf**kas (2013);2013;6.0 ;2013-07-23
2640468;From Dusk Till Dawn (1996);1996;7.3 ;1996-01-19
2692023;Hell Up in Harlem (1973);1973;6.1 ;1973-12-01
3211484;The Big Score (1983);1983;4.8 ;1983-11-25
2524606;Death Becomes Her (1992);1992;6.4 ;1992-07-31
2710314;Hostage (2005);2005;6.6 ;2005-03-11
2860020;Live Free or Die Hard (2007);2007;7.2 ;2007-06-27
2864315;Look Who's Talking (1989);1989;5.8 ;1989-10-13
3124395;Shine a Light (2008);2008;7.2 ;2008-04-04
3193258;Tears of the Sun (2003);2003;6.6 ;2003-03-07
3233618;The Expendables 2 (2012);2012;6.7 ;2012-08-17
3252665;The Jackal (1997);1997;6.3 ;1997-11-14
3282262;The Prince (2014);2014;4.6 ;2014-08-22
3298761;The Story of Us (1999);1999;5.9 ;1999-10-15
3308214;The Verdict (1982);1982;7.8 ;1982-12-17
2425579;Bloodfist (1989);1989;4.7 ;1989-09-22
3162323;Stealing Harvard (2002);2002;5.1 ;2002-09-13
2651776;Gekijouban Poketto monsutâ Adobansu jenerêshon: Nanayo no negaiboshi Jirâchi (2003);2003;5.9 ;2004-06-01
2783241;Kedi (2010);2010;4.8 ;2010-02-12
2469046;Checkered Flag or Crash (1977);1977;4.5 ;1978-03-01
2491237;Congo (1995);1995;5.0 ;1995-06-09
2627117;Fletch (1985);1985;6.9 ;1985-05-31
2918285;Mitchell (1975);1975;2.4 ;1975-09-10
3061575;Reality Bites (1994);1994;6.6 ;1994-02-18
3272321;The Natural (1984);1984;7.6 ;1984-05-11
2303100;3:10 to Yuma (2007);2007;7.8 ;2007-09-07
3066161;Reign of Fire (2002);2002;6.2 ;2002-07-12
3128134;Shut Up Little Man! An Audio Misadventure (2011);2011;6.6 ;2011-08-25
2617889;Femme Fatale (2002);2002;6.3 ;2002-11-06
3233620;The Expendables 3 (2014);2014;6.1 ;2014-08-15
3249529;The House of the Spirits (1993);1993;6.9 ;1994-04-01
2306289;8 Million Ways to Die (1986);1986;5.6 ;1986-04-25
2320447;A Place at the Table (2012);2012;6.8 ;2013-03-01
2339215;Against All Odds (1984);1984;5.8 ;1984-03-02
2714431;How to Lose Friends & Alienate People (2008);2008;6.5 ;2008-10-03
2750235;Iron Man (2008);2008;7.9 ;2008-05-02
3109634;See You in the Morning (1989);1989;5.8 ;1989-04-14
3199375;Texasville (1990);1990;6.0 ;1990-09-28
3234091;The Fabulous Baker Boys (1989);1989;6.8 ;1989-10-13
3346377;Tucker: The Man and His Dream (1988);1988;6.9 ;1988-08-12
2887671;Mamma Mia! (2008);2008;6.4 ;2008-07-18
2964710;Nomads (1986);1986;5.6 ;1986-03-07
3185764;Taffin (1988);1988;5.5 ;1988-02-26
2294055;...tick... tick... tick... (1970);1970;6.6 ;1970-01-09
2563569;Draft Day (2014/I);2014;6.8 ;2014-04-11
2808241;L.A. Heat (1989);1989;4.4 ;1989-02-01
3238426;The Fortune Cookie (1966);1966;7.4 ;1966-10-19
3297245;The Split (1968);1968;6.0 ;1968-11-04
2468001;Chasing Mavericks (2012);2012;7.2 ;2012-10-26
2930764;Mrs Brown (1997);1997;7.3 ;1997-07-18
2981673;Olympus Has Fallen (2013);2013;6.5 ;2013-03-22
3066161;Reign of Fire (2002);2002;6.2 ;2002-07-12
3079767;RocknRolla (2008);2008;7.3 ;2008-10-31
3326116;Timeline (2003);2003;5.6 ;2003-11-26
2444372;Bulletproof (1996);1996;5.8 ;1996-09-06
2487639;Comes a Horseman (1978);1978;6.2 ;1978-10-25
2588734;Elf (2003);2003;6.9 ;2003-11-07
2644170;Funny Lady (1975);1975;6.4 ;1975-03-15
3242313;The Godfather: Part II (1974);1974;9.1 ;1974-12-20
2356852;Amos & Andrew (1993);1993;5.5 ;1993-03-05
2418053;Birdy (1984);1984;7.3 ;1984-12-21
2523366;Deadfall (1993);1993;3.7 ;1993-10-08
2566337;Drive Angry (2011);2011;5.5 ;2011-02-25
2656040;Ghost Rider: Spirit of Vengeance (2011);2011;4.3 ;2012-02-17
2376708;Ashanti (1979);1979;5.3 ;1979-04-01
2416494;Billion Dollar Brain (1967);1967;6.1 ;1967-12-20
2452209;Call It Magic (1975);1975;4.5 ;1975-01-01
2589060;Eliza Graves (2014);2014;6.8 ;2014-10-24
2681765;Hannah and Her Sisters (1986);1986;8.0 ;1986-03-14
2747389;Interstellar (2014);2014;8.7 ;2014-11-07
2921837;Mona Lisa (1986);1986;7.4 ;1986-06-13
3012564;Peeper (1976);1976;5.8 ;1976-01-01
3248270;The Holcroft Covenant (1985);1985;5.7 ;1985-10-18
3300457;The Swarm (1978);1978;4.3 ;1978-07-14
3434717;Zulu (1964);1964;7.8 ;1964-06-17
2373066;Armed Response (1986);1986;4.8 ;1986-10-03
2384097;Autumn (2009/I);2009;3.2 ;2010-01-01
2404188;Behind Enemy Lines (1986);1986;4.9 ;1986-04-01
2417857;Bird on a Wire (1990);1990;5.8 ;1990-05-18
2433958;Bound for Glory (1976);1976;7.4 ;1976-12-05
2830466;Last Goodbye (2004);2004;5.2 ;2004-05-01
2922406;Money to Burn (2010);2010;5.3 ;2010-01-01
2939784;My Suicide (2009);2009;7.2 ;2011-09-23
2968889;Nowhere to Run (1989);1989;5.0 ;1989-03-01
3273187;The New Swiss Family Robinson (1998);1998;4.6 ;1999-01-10
2476079;Chu ba (1973);1973;5.9 ;1973-09-01
2765085;Jing wu men (1972);1972;7.4 ;1972-09-09
2879068;Ma tou da jue dou (1973);1973;5.8 ;1974-01-02
3087788;Rush Hour 3 (2007);2007;6.2 ;2007-08-10
3423114;Yi zhao ban shi chuang jiang hu (1978);1978;5.9 ;1985-01-01
2651899;Gekitotsu! Satsujin ken (1974);1974;7.2 ;1974-11-01
2675935;Gyakushû! Satsujin ken (1974);1974;6.1 ;1979-02-01
2366115;Annayya (2000);2000;6.5 ;2000-02-06
2757513;Jai Chiranjeeva (2005);2005;5.8 ;2005-12-21
3120139;Shankardada Zindabad (2007);2007;5.0 ;2007-07-27
3158153;Sri Manjunatha (2001);2001;6.7 ;2001-07-06
3126936;Shou zhi ao chu (1981);1981;6.9 ;1981-06-01
2888174;Man cheng jin dai huang jin jia (2006);2006;7.0 ;2007-01-12
3119968;Shanghai (2010);2010;6.5 ;2015-08-21
3286531;The Replacement Killers (1998);1998;6.1 ;1998-02-06
2504778;Curdled (1996);1996;5.9 ;1996-09-27
2613043;Fantastic Mr. Fox (2009);2009;7.8 ;2009-11-25
2672044;Grizzly II: The Concert (1987);1987;3.7 ;1983-01-01
2976312;Ocean's Eleven (2001);2001;7.8 ;2001-12-07
3096365;Sand and Sorrow (2007);2007;6.9 ;2007-12-01
2314267;A Good Man in Africa (1994);1994;5.0 ;1994-09-09
2452209;Call It Magic (1975);1975;4.5 ;1975-01-01
2502989;Cuba (1979);1979;5.7 ;1979-12-21
2532835;Der Name der Rose (1986);1986;7.8 ;1986-09-24
2624385;First Knight (1995);1995;5.9 ;1995-07-07
2996353;Outland (1981);1981;6.6 ;1981-05-22
3181892;Sword of the Valiant: The Legend of Sir Gawain and the Green Knight (1984);1984;4.3 ;1984-08-17
3245486;The Guns of James Bond (1964);1964;6.6 ;1964-01-01
3264944;The Making of 'The Wind and the Lion' (1975);1975;7.7 ;1975-01-01
3307431;The Untouchables (1987);1987;8.0 ;1987-06-03
3322682;Thunderball (1965);1965;7.0 ;1965-12-22
3325368;Time Bandits (1981);1981;7.0 ;1981-11-06
2421897;Black or White (2014);2014;6.6 ;2015-01-30
2563569;Draft Day (2014/I);2014;6.8 ;2014-04-11
2563883;Dragonfly (2002);2002;6.0 ;2002-02-22
2755511;JFK (1991);1991;8.0 ;1991-12-20
2900093;McFarland, USA (2015);2015;7.5 ;2015-02-20
2957555;Night Shift (1982);1982;6.5 ;1982-07-30
3131759;Silverado (1985);1985;7.2 ;1985-07-10
3307431;The Untouchables (1987);1987;8.0 ;1987-06-03
3417917;Wyatt Earp (1994);1994;6.6 ;1994-06-24
2315715;A Kid in King Arthur's Court (1995);1995;4.7 ;1995-08-11
2714431;How to Lose Friends & Alienate People (2008);2008;6.5 ;2008-10-03
3252088;The Invasion (2007/I);2007;5.9 ;2007-08-17
2303100;3:10 to Yuma (2007);2007;7.8 ;2007-09-07
2437167;Breaking Up (1997);1997;4.9 ;1997-10-17
2631939;For the Moment (1993);1993;6.3 ;1996-04-19
3156749;Spotswood (1992);1992;6.3 ;1992-11-06
2917450;Mission: Impossible II (2000);2000;6.0 ;2000-05-24
3056422;Rain Man (1988);1988;8.0 ;1988-12-16
3076171;Risky Business (1983);1983;6.8 ;1983-08-05
3343674;Tropic Thunder (2008);2008;7.0 ;2008-08-13
2603755;Everybody's Fine (2009);2009;7.2 ;2009-12-04
2636337;Frankenstein (1994);1994;6.4 ;1994-11-04
2788160;Killer Elite (2011);2011;6.5 ;2011-09-23
3120670;Shark Tale (2004);2004;6.0 ;2004-10-01
3160754;Stardust (2007);2007;7.7 ;2007-08-10
3227192;The Deer Hunter (1978);1978;8.2 ;1979-02-23
3242313;The Godfather: Part II (1974);1974;9.1 ;1974-12-20
3307431;The Untouchables (1987);1987;8.0 ;1987-06-03
3388256;Wag the Dog (1997);1997;7.1 ;1998-01-09
3395441;We're No Angels (1989);1989;6.0 ;1989-12-15
2372712;Arizona Dream (1992);1992;7.4 ;1994-09-09
2514276;Dark Shadows (2012);2012;6.2 ;2012-05-11
2574974;Ed Wood (1994);1994;7.9 ;1994-09-28
2575919;Edward Scissorhands (1990);1990;8.0 ;1990-12-14
2956493;Nick of Time (1995);1995;6.3 ;1995-11-22
3259376;The Libertine (2004);2004;6.4 ;2006-03-10
3338521;Transcendence (2014/I);2014;6.3 ;2014-04-18
2614404;Fast Five (2011);2011;7.4 ;2011-04-29
2769439;Journey to Sundance (2014);2014;7.2 ;2014-08-01
3073753;Riddick (2013);2013;6.4 ;2013-09-06
2361673;And So It Goes (2014);2014;5.7 ;2014-07-25
2421199;Black Rain (1989);1989;6.6 ;1989-09-22
2486675;Coma (1978);1978;6.8 ;1978-01-06
2614804;Fatal Attraction (1987);1987;6.9 ;1987-09-18
2986195;One Night at McCool's (2001);2001;6.1 ;2001-04-27
3425801;You, Me and Dupree (2006);2006;5.6 ;2006-07-14
2297872;1969 (1988);1988;5.8 ;1988-11-18
2434294;Bowfinger (1999);1999;6.4 ;1999-08-13
2469422;Chef (2014);2014;7.3 ;2014-05-30
2511811;Danger Zone (1996);1996;4.6 ;1996-08-02
2667704;Gothika (2003);2003;5.8 ;2003-11-21
2715996;Hugo Pool (1997);1997;5.1 ;1997-12-12
2750235;Iron Man (2008);2008;7.9 ;2008-05-02
2767268;Johnny Be Good (1988);1988;4.4 ;1988-03-25
2948816;Natural Born Killers (1994);1994;7.3 ;1994-08-26
3253620;The Judge (2014);2014;7.5 ;2014-10-10
3343674;Tropic Thunder (2008);2008;7.0 ;2008-08-13
2355151;American Ninja (1985);1985;5.3 ;1985-08-30
2355154;American Ninja 4: The Annihilation (1990);1990;3.6 ;1991-03-08
2981673;Olympus Has Fallen (2013);2013;6.5 ;2013-03-22
2425286;Blood Work (2002);2002;6.4 ;2002-08-09
2493320;Coogan's Bluff (1968);1968;6.5 ;1968-10-02
2550773;Dirty Harry (1971);1971;7.8 ;1971-12-23
2603616;Every Which Way But Loose (1978);1978;6.2 ;1978-12-20
2684969;Harry Callahan/Clint Eastwood: Something Special in Films (1976);1976;6.5 ;1976-01-01
3025413;Play Misty for Me (1971);1971;7.0 ;1971-11-12
3232577;The Enforcer (1976);1976;6.8 ;1976-12-22
3276719;The Outlaw Josey Wales (1976);1976;7.9 ;1976-06-30
3362818;Unforgiven (1992);1992;8.3 ;1992-08-07
2367080;Another Stakeout (1993);1993;5.5 ;1993-07-23
2428322;Bobby (2006);2006;7.0 ;2006-11-23
3159053;Stakeout (1987);1987;6.6 ;1987-08-05
3200467;That Was Then... This Is Now (1985);1985;6.2 ;1985-11-08
3268809;The Mighty Ducks (1992);1992;6.4 ;1992-10-02
3411776;Wisdom (1986);1986;5.6 ;1986-12-31
2540846;Diablita (2007);2007;3.7 ;2007-04-01
3045518;Psycho III (1986);1986;5.2 ;1986-07-02
3131759;Silverado (1985);1985;7.2 ;1985-07-10
3364825;Unspeakable (2002);2002;3.2 ;2004-02-27
3364825;Unspeakable (2002);2002;3.2 ;2003-12-01
3417917;Wyatt Earp (1994);1994;6.6 ;1994-06-24
2303100;3:10 to Yuma (2007);2007;7.8 ;2007-09-07
2523366;Deadfall (1993);1993;3.7 ;1993-10-08
2910968;Midnight Movies: From the Margin to the Mainstream (2005);2005;7.4 ;2005-08-05
3408604;Wild Hogs (2007);2007;5.9 ;2007-03-02
2509800;Dalai Lama Awakening (2014);2014;7.6 ;2014-10-01
2705202;Hollywood Homicide (2003);2003;5.3 ;2003-06-13
2764744;Jimmy Hollywood (1994);1994;5.3 ;1994-03-30
3010269;Patriot Games (1992);1992;6.9 ;1992-06-05
3038297;Presumed Innocent (1990);1990;6.9 ;1990-07-27
3090974;Sabrina (1995);1995;6.2 ;1995-12-15
3160497;Star Wars: Episode V - The Empire Strikes Back (1980);1980;8.8 ;1980-06-20
3233620;The Expendables 3 (2014);2014;6.1 ;2014-08-15
3399877;What Lies Beneath (2000);2000;6.6 ;2000-07-21
3412935;Witness (1985);1985;7.5 ;1985-02-08
2422811;Blast from the Past (1999);1999;6.5 ;1999-02-12
2922763;Monkeybone (2001);2001;4.7 ;2001-02-23
3147830;Son in Law (1993);1993;5.6 ;1993-07-02
3348630;Twenty Bucks (1993);1993;6.4 ;1993-10-22
3412288;With Honors (1994);1994;6.7 ;1994-04-29
2417857;Bird on a Wire (1990);1990;5.8 ;1990-05-18
2491926;Conspiracy Theory (1997);1997;6.7 ;1997-08-08
2632895;Forever Young (1992);1992;6.2 ;1992-12-16
2850800;Lethal Weapon 3 (1992);1992;6.7 ;1992-05-15
3233620;The Expendables 3 (2014);2014;6.1 ;2014-08-15
3278174;The Patriot (2000);2000;7.1 ;2000-06-28
3406083;Who Killed the Electric Car? (2006);2006;7.7 ;2006-08-04
2433958;Bound for Glory (1976);1976;7.4 ;1976-12-05
3042960;Programmed to Kill (1987);1987;3.8 ;1987-04-01
3204218;The Alchemist (1983);1983;3.8 ;1986-03-01
2332546;Absolute Deception (2013);2013;4.1 ;2013-07-17
2472721;Chill Factor (1999);1999;5.2 ;1999-09-01
2867640;Losing Isaiah (1995);1995;6.6 ;1995-03-17
3434137;Zoolander (2001);2001;6.6 ;2001-09-28
2431109;Bonnie and Clyde (1967);1967;7.9 ;1967-08-13
2638472;French Connection II (1975);1975;6.8 ;1975-05-21
3297245;The Split (1968);1968;6.0 ;1968-11-04
3362818;Unforgiven (1992);1992;8.3 ;1992-08-07
3417917;Wyatt Earp (1994);1994;6.6 ;1994-06-24
2306168;7eventy 5ive (2007);2007;4.7 ;2007-08-24
2425601;Bloodhounds of Broadway (1989);1989;5.6 ;1989-11-03
2627079;Flesh+Blood (1985);1985;6.7 ;1985-08-30
2629255;Flying Virus (2001);2001;3.3 ;2001-12-31
2662295;Goal II: Living the Dream (2007);2007;5.9 ;2008-08-29
3145026;Soldaat van Oranje (1977);1977;7.8 ;1979-08-16
2293881;...Più forte ragazzi! (1972);1972;6.7 ;1973-06-01
2535687;Der Ölprinz (1965);1965;5.8 ;1966-01-01
3365030;Unter Geiern (1964);1964;5.8 ;1966-11-01
2383447;Australia (2008);2008;6.6 ;2008-11-26
2900353;Me and Earl and the Dying Girl (2015);2015;8.2 ;2015-06-12
3238516;The Fountain (2006);2006;7.3 ;2006-11-22
3313188;The Wolverine (2013);2013;6.7 ;2013-07-26
2356852;Amos & Andrew (1993);1993;5.5 ;1993-03-05
2456258;Captain America: The First Avenger (2011);2011;6.8 ;2011-07-22
2750235;Iron Man (2008);2008;7.9 ;2008-05-02
2867640;Losing Isaiah (1995);1995;6.6 ;1995-03-17
3010269;Patriot Games (1992);1992;6.9 ;1992-06-05
3056005;Ragtime (1981);1981;7.3 ;1982-01-08
3160490;Star Wars: Episode II - Attack of the Clones (2002);2002;6.7 ;2002-05-16
3251036;The Incredibles (2004);2004;8.0 ;2004-11-05
3261685;The Long Kiss Goodnight (1996);1996;6.7 ;1996-10-11
3272559;The Negotiator (1998);1998;7.3 ;1998-07-29
3291381;The Search for One-eye Jimmy (1994);1994;5.9 ;1996-06-21
3320041;Thor (2011);2011;7.0 ;2011-05-06
3359370;Unbreakable (2000);2000;7.2 ;2000-11-22
2559373;Doom (2005);2005;5.2 ;2005-10-21
2614404;Fast Five (2011);2011;7.4 ;2011-04-29
3239806;The Game Plan (2007);2007;6.2 ;2007-09-28
3289627;The Rundown (2003);2003;6.7 ;2003-09-26
3290999;The Scorpion King (2002);2002;5.5 ;2002-04-19
3387752;WWE The Rock: The Most Electrifying Man In Sports Entertainment Vol 2 (2011);2011;6.4 ;2011-05-01
2456258;Captain America: The First Avenger (2011);2011;6.8 ;2011-07-22
2561365;Double Jeopardy (1999);1999;6.3 ;1999-09-24
2755511;JFK (1991);1991;8.0 ;1991-12-20
2871014;Love Story (1970);1970;6.9 ;1970-12-16
2888417;Man of the House (2005/I);2005;5.4 ;2005-02-25
2948816;Natural Born Killers (1994);1994;7.3 ;1994-08-26
3211622;The Big Town (1987);1987;5.9 ;1987-09-25
3250063;The Hunted (2003);2003;6.0 ;2003-03-14
3269648;The Missing (2003/I);2003;6.5 ;2003-11-26
3288098;The River Rat (1984);1984;6.3 ;1984-09-28
3120139;Shankardada Zindabad (2007);2007;5.0 ;2007-07-27
3430020;Zatôichi goyô-tabi (1972);1972;7.2 ;1973-09-01
2403450;Beetlejuice (1988);1988;7.4 ;1988-03-30
2459174;Cars (2006);2006;7.2 ;2006-06-09
2957555;Night Shift (1982);1982;6.5 ;1982-07-30
3033894;Post Grad (2009);2009;5.3 ;2009-08-21
3121969;She's Having a Baby (1988);1988;5.8 ;1988-02-05
2959802;Ninja III: The Domination (1984);1984;4.8 ;1984-09-14
3242313;The Godfather: Part II (1974);1974;9.1 ;1974-12-20
2441309;Brothers (2015/I);2015;8.4 ;2015-08-14
2656040;Ghost Rider: Spirit of Vengeance (2011);2011;4.3 ;2012-02-17
2926218;Mortal Kombat (1995);1995;5.8 ;1995-08-18
3328193;To Kill a Priest (1988);1988;6.2 ;1989-10-13
3407179;Why Me? (1990);1990;6.0 ;1990-04-20
2420727;Black Knight (2001);2001;4.7 ;2001-11-21
2712273;House Party (1990);1990;6.2 ;1990-03-09
3401006;What's the Worst That Could Happen? (2001);2001;5.4 ;2001-06-01
3408604;Wild Hogs (2007);2007;5.9 ;2007-03-02
2765085;Jing wu men (1972);1972;7.4 ;1972-09-09
3285075;The Real Bruce Lee (1973);1973;5.5 ;1979-01-01
2445605;Burke and Hare (2010);2010;6.2 ;2011-09-09
2494984;Corridor of Mirrors (1948);1948;6.9 ;1948-07-24
2514276;Dark Shadows (2012);2012;6.2 ;2012-05-11
2524790;Death Line (1973);1973;6.0 ;1973-09-01
2563487;Dracula Has Risen from the Grave (1968);1968;6.6 ;1969-02-06
2563512;Dracula père et fils (1976);1976;5.4 ;1979-05-01
2765971;Jocks (1986);1986;3.2 ;1986-11-14
2862943;Lolita (1962);1962;7.7 ;1962-06-12
2901092;Meatcleaver Massacre (1977);1977;2.7 ;1977-03-01
2957711;Night Train to Lisbon (2013);2013;6.8 ;2013-12-06
2967559;Nothing But the Night (1973);1973;5.0 ;1975-06-01
3160490;Star Wars: Episode II - Attack of the Clones (2002);2002;6.7 ;2002-05-16
3245937;The Hands of Orlac (1960);1960;5.7 ;1964-05-13
3302045;The Terror of the Tongs (1961);1961;6.0 ;1961-03-15
3285075;The Real Bruce Lee (1973);1973;5.5 ;1979-01-01
2678810;Hak hap (1996);1996;6.1 ;1999-05-14
2791438;Kiss of the Dragon (2001);2001;6.6 ;2001-07-06
3233616;The Expendables (2010);2010;6.5 ;2010-08-13
3233620;The Expendables 3 (2014);2014;6.1 ;2014-08-15
3079876;Rocky IV (1985);1985;6.7 ;1985-11-27
3233616;The Expendables (2010);2010;6.5 ;2010-08-13
3233620;The Expendables 3 (2014);2014;6.1 ;2014-08-15
2631620;For Your Eyes Only (1981);1981;6.8 ;1981-06-26
2660882;Gli esecutori (1976);1976;4.9 ;1976-09-17
2976568;Octopussy (1983);1983;6.6 ;1983-06-10
3263906;The Magic Snowman (1987);1987;6.4 ;1987-12-01
2324920;A Thousand Words (2012/I);2012;5.9 ;2012-03-09
2408761;Best Defense (1984);1984;3.5 ;1984-07-20
2434294;Bowfinger (1999);1999;6.4 ;1999-08-13
2684555;Harlem Nights (1989);1989;5.9 ;1989-11-17
2705763;Holy Man (1998);1998;4.8 ;1998-10-09
2320817;A Prayer for the Dying (1987);1987;6.4 ;1987-09-11
2403695;Before and After (1996);1996;6.1 ;1996-02-23
2436834;Breakfast on Pluto (2005);2005;7.3 ;2006-01-06
2514606;Darkman (1990);1990;6.4 ;1990-08-24
2769229;Journey Into Amazing Caves (2001);2001;7.0 ;2001-03-01
3085685;Ruby Cairo (1992);1992;4.9 ;1993-10-29
3086683;Run All Night (2015);2015;6.6 ;2015-03-13
3160490;Star Wars: Episode II - Attack of the Clones (2002);2002;6.7 ;2002-05-16
3178487;Suspect (1987);1987;6.6 ;1987-10-23
2406328;Bells of Innocence (2003);2003;3.6 ;2003-04-06
2623910;Firewalker (1986);1986;4.9 ;1986-11-21
2917254;Missing in Action 2: The Beginning (1985);1985;5.1 ;1985-03-01
2425311;Blood and Honor (2000);2000;2.4 ;2000-01-10
2459315;Cartel (1990);1990;3.7 ;1990-06-14
2863354;Lone Runner (1986);1986;3.8 ;1988-01-01
3018209;Phantom Raiders (1988);1988;4.4 ;1988-07-25
3181892;Sword of the Valiant: The Legend of Sir Gawain and the Green Knight (1984);1984;4.3 ;1984-08-17
2788160;Killer Elite (2011);2011;6.5 ;2011-09-23
2789453;King Arthur (2004);2004;6.3 ;2004-07-07
3323433;Ticker (2002);2002;7.7 ;2002-11-12
2603732;Everybody's All-American (1988);1988;6.2 ;1988-11-04
2648562;Gang Related (1997);1997;6.7 ;1997-10-08
2995103;Our Winning Season (1978);1978;5.6 ;1978-05-01
3140347;Smart People (2008);2008;6.2 ;2008-04-11
3178487;Suspect (1987);1987;6.6 ;1987-10-23
3181757;Switchback (1997);1997;6.4 ;1997-10-31
3204164;The Alamo (2004);2004;6.0 ;2004-04-09
3288931;The Rookie (2002);2002;7.0 ;2002-03-29
3313778;The Words (2012);2012;7.1 ;2012-09-07
3400613;What to Expect When You're Expecting (2012);2012;5.7 ;2012-05-18
3417917;Wyatt Earp (1994);1994;6.6 ;1994-06-24
2899736;Mayor of the Sunset Strip (2003);2003;7.1 ;2004-03-26
2440136;Broken Bridges (2006);2006;6.2 ;2006-09-08
3068295;Rent-a-Cop (1987);1987;4.2 ;1988-01-15
3120756;Sharky's Machine (1981);1981;6.3 ;1981-12-18
3181790;Switching Channels (1988);1988;5.9 ;1988-03-04
3210221;The Best Little Whorehouse in Texas (1982);1982;5.7 ;1982-07-23
3232132;The End (1978);1978;6.2 ;1978-05-10
3259401;The Librarians (2003);2003;5.1 ;2004-12-10
3280448;The Player (1992);1992;7.7 ;1992-05-08
2388717;Babyfever (1994);1994;5.2 ;1994-05-04
2415449;Bigfoot vs. D.B. Cooper (2014);2014;4.0 ;2014-07-01
2850262;Let the Lion Roar (2014);2014;5.8 ;2014-09-19
2872290;Love, Cheat & Steal (1993);1993;5.0 ;1993-12-05
2915448;Mirror Image (2012);2012;7.1 ;2015-07-01
3043292;Project Solitude (2009);2009;5.8 ;2009-07-01
3138199;Sledge: The Untold Story (2005);2005;2.9 ;2009-01-20
3159939;Star 80 (1983);1983;6.6 ;1983-11-10
3221083;The Coca-Cola Kid (1985);1985;6.0 ;1985-07-14
3233616;The Expendables (2010);2010;6.5 ;2010-08-13
3261732;The Long Ride Home (2003);2003;5.3 ;2003-05-27
3416586;Worth: The Testimony of Johnny St. James (2012);2012;5.5 ;2012-11-07
3300483;The Sweep (2008);2008;1.6 ;2008-06-10
2467124;Charley and the Angel (1973);1973;6.2 ;1973-03-23
2633620;Forrest Gump (1994);1994;8.  ;1994-07-06
2997243;Overboard (1987);1987;6.7 ;1987-12-16
3189583;Tango & Cash (1989);1989;6.3 ;1989-12-22
2772301;Junior (1994);1994;4.5 ;1994-11-23
2789276;Kindergarten Cop (1990);1990;6.0 ;1990-12-21
3060034;Raw Deal (1986);1986;5.4 ;1986-06-06
3233616;The Expendables (2010);2010;6.5 ;2010-08-13
3233620;The Expendables 3 (2014);2014;6.1 ;2014-08-15
3289627;The Rundown (2003);2003;6.7 ;2003-09-26
3406083;Who Killed the Electric Car? (2006);2006;7.7 ;2006-08-04
2989691;Operation Bikini (1963);1963;3.7 ;1963-03-26
3152246;Space Shuttle (2011);2011;7.6 ;2011-07-01
3160364;Star Trek: The Motion Picture (1979);1979;6.4 ;1979-12-07
3382388;Visiting Hours (1982);1982;5.5 ;1982-05-28
3070941;Return of the Roller Blade Seven (1992);1992;2.4 ;1993-01-01
3095676;Samurai Vampire Bikers from Hell (1992);1992;6.9 ;1992-12-07
3280448;The Player (1992);1992;7.7 ;1992-05-08
2405297;Being John Malkovich (1999);1999;7.8 ;1999-12-03
2523366;Deadfall (1993);1993;3.7 ;1993-10-08
2672044;Grizzly II: The Concert (1987);1987;3.7 ;1983-01-01
3063337;Red Dawn (1984);1984;6.3 ;1984-08-10
3102216;Scary Movie 3 (2003);2003;5.4 ;2003-10-24
3118404;Shadow Conspiracy (1997);1997;4.9 ;1997-01-31
3302865;The Three Musketeers (1993);1993;6.3 ;1993-11-12
3411776;Wisdom (1986);1986;5.6 ;1986-12-31
2726190;I, Robot (2004);2004;7.1 ;2004-07-16
3120670;Shark Tale (2004);2004;6.0 ;2004-10-01
