movieid;title;year;rank;releasedate
2643483;Full Tilt Boogie (1997);1997;6.5 ;1998-07-31
3055513;Radioman (2012);2012;8.1 ;2012-12-07
3157444;Spy Kids 3-D: Game Over (2003);2003;4.1 ;2003-07-25
2563266;Dr. No (1962);1962;7.3 ;1963-05-08
2894137;Marnie (1964);1964;7.2 ;1964-07-22
2904747;Memories of Me (1988);1988;5.6 ;1988-10-01
3281848;The Presidio (1988);1988;5.9 ;1988-06-10
3289732;The Russia House (1990);1990;6.1 ;1990-12-21
3300064;The Sun... the Sand... the Hill. (1965);1965;6.6 ;1965-01-01
3357142;Un monde nouveau (1966);1966;7.4 ;1966-05-16
2354185;America's Feud: Hatfields & McCoys (2012);2012;8.0 ;2012-06-02
2907241;Message in a Bottle (1999);1999;6.1 ;1999-02-12
3158638;Stacy's Knights (1983);1983;4.6 ;1983-06-01
3309921;The War (1994);1994;6.7 ;1994-11-04
3318362;Thirteen Days (2000);2000;7.3 ;2001-01-12
3326337;Tin Cup (1996);1996;6.3 ;1996-08-16
2832903;Layer Cake (2004);2004;7.4 ;2005-06-03
2477808;Cinderella Man (2005);2005;8.0 ;2005-06-03
2660285;Gladiator (2000);2000;8.5 ;2000-05-05
2896702;Master and Commander: The Far Side of the World (2003);2003;7.4 ;2003-11-14
2962793;No Way Back (1995);1995;5.1 ;1996-12-20
3043918;Proof (1991);1991;7.4 ;1992-03-20
3224237;The Crossing (1990);1990;5.6 ;1990-10-18
2432778;Born on the Fourth of July (1989);1989;7.2 ;1990-01-05
2483833;Cocktail (1988);1988;5.8 ;1988-07-29
2756153;Jack Reacher (2012);2012;7.0 ;2012-12-21
3221561;The Color of Money (1986);1986;7.0 ;1986-10-17
2363339;Angel Heart (1987);1987;7.3 ;1987-03-06
2663114;Godsend (2004);2004;4.8 ;2004-04-30
2705258;Hollywood Mavericks (1990);1990;7.1 ;1990-09-07
2844072;Lennon or McCartney (2014);2014;5.5 ;2014-12-12
2880351;Mad Dog and Glory (1993);1993;6.2 ;1993-03-05
2902197;Meet the Parents (2000);2000;7.0 ;2000-10-06
2905301;Men of Honor (2000);2000;7.1 ;2000-11-10
2954753;New Year's Eve (2011);2011;5.6 ;2011-12-09
2968295;Novecento (1976);1976;7.7 ;1977-11-04
3055930;Raging Bull (1980);1980;8.3 ;1980-12-19
3094774;Sam's Song (1969);1969;3.7 ;1979-01-01
3127390;Showtime (2002);2002;5.5 ;2002-03-15
2319486;A Nightmare on Elm Street (1984);1984;7.5 ;1984-11-16
2473931;Chocolat (2000);2000;7.3 ;2001-01-19
2502225;Cry-Baby (1990);1990;6.5 ;1990-04-06
2622619;Finding Neverland (2004);2004;7.8 ;2004-12-17
2665503;Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008);2008;7.8 ;2008-07-18
2756262;Jack and Jill (2011/I);2011;3.4 ;2011-11-11
3023221;Pirates of the Caribbean: At World's End (2007);2007;7.1 ;2007-05-25
3053878;R.P.G. (1986);1986;7.6 ;2011-04-01
3053878;R.P.G. (1986);1986;7.6 ;1986-01-01
3055513;Radioman (2012);2012;8.1 ;2012-12-07
3108534;Secret Window (2004);2004;6.6 ;2004-03-12
3138691;Sleepy Hollow (1999);1999;7.4 ;1999-11-19
3348087;Tusk (2014);2014;5.4 ;2014-09-19
3400669;What's Eating Gilbert Grape (1993);1993;7.8 ;1994-03-04
2317279;A Man Apart (2003);2003;6.1 ;2003-04-04
2644454;Furious 6 (2013);2013;7.2 ;2013-05-24
3235134;The Fast and the Furious: Tokyo Drift (2006);2006;5.9 ;2006-06-16
3436372;xXx (2002);2002;5.8 ;2002-08-09
2309448;A Chorus Line (1985);1985;6.0 ;1985-12-13
2790910;Kirk Douglas: Before I Forget (2009);2009;7.8 ;2009-11-24
3310056;The War of the Roses (1989);1989;6.8 ;1989-12-08
3390146;Wall Street: Money Never Sleeps (2010);2010;6.3 ;2010-09-24
2314542;A Guide to Recognizing Your Saints (2006);2006;7.1 ;2006-10-13
2322299;A Scanner Darkly (2006);2006;7.1 ;2006-07-28
2341503;Air America (1990);1990;5.7 ;1990-08-10
2465732;Chances Are (1989);1989;6.4 ;1989-03-10
2467228;Charlie Bartlett (2007);2007;7.0 ;2008-02-22
3295991;The Soloist (2009);2009;6.7 ;2009-04-24
3346521;Tuff Turf (1985);1985;6.2 ;1985-01-11
2341503;Air America (1990);1990;5.7 ;1990-08-10
3075273;Ringmaster (1998);1998;3.1 ;1998-11-25
2558326;Don't Pave Main Street: Carmel's Heritage (1994);1994;6.7 ;1994-06-01
2739853;In the Line of Fire (1993);1993;7.2 ;1993-07-09
2912667;Milius (2013);2013;7.5 ;2014-01-11
3014530;Per qualche dollaro in più (1965);1965;8.3 ;1967-05-10
3014562;Per un pugno di dollari (1964);1964;8.1 ;1967-01-18
3226557;The Dead Pool (1988);1988;6.3 ;1988-07-13
2507157;D2: The Mighty Ducks (1994);1994;5.9 ;1994-03-25
3158325;St. Elmo's Fire (1985);1985;6.3 ;1985-06-28
3199202;Tex (1982);1982;6.6 ;1982-07-30
2428919;Body Parts (1991);1991;5.4 ;1991-08-02
2461620;Catherine's Grove (1997);1997;4.1 ;1997-09-05
2573777;Easy Rider: The Ride Back (2012);2012;3.5 ;2015-01-01
3344345;True Blood (1989);1989;5.4 ;1989-04-28
2464134;Certain Fury (1985);1985;4.9 ;1985-03-01
2550924;Dirty Mary Crazy Larry (1974);1974;6.7 ;1974-05-17
2656037;Ghost Rider (2007);2007;5.2 ;2007-02-16
2698892;High-Ballin' (1978);1978;5.1 ;1978-05-26
2705258;Hollywood Mavericks (1990);1990;7.1 ;1990-09-07
2996382;Outlaw Blues (1977);1977;5.9 ;1977-08-01
3247916;The Hired Hand (1971);1971;7.1 ;1971-08-11
2341548;Air Force One (1997);1997;6.4 ;1997-07-25
2422389;Blade Runner (1982);1982;8.2 ;1982-06-25
2912667;Milius (2013);2013;7.5 ;2014-01-11
3135227;Six Days Seven Nights (1998);1998;5.7 ;1998-06-12
3160409;Star Wars (1977);1977;8.7 ;1977-05-25
3160498;Star Wars: Episode VI - Return of the Jedi (1983);1983;8.4 ;1983-05-25
3239228;The Fugitive (1993);1993;7.8 ;1993-08-06
3428957;Zabriskie Point (1970);1970;7.1 ;1970-02-09
2402917;Bedazzled (2000);2000;5.9 ;2000-10-20
2568455;Dudley Do-Right (1999);1999;3.8 ;1999-08-27
2593327;Encino Man (1992);1992;5.6 ;1992-05-22
2743830;Inkheart (2008);2008;6.1 ;2009-01-23
3164118;Still Breathing (1997);1997;7.0 ;1998-05-01
3291032;The Scout (1994);1994;5.3 ;1994-09-30
2341503;Air America (1990);1990;5.7 ;1990-08-10
2381128;Attack Force Z (1982);1982;5.5 ;1982-06-01
2615508;Fathers' Day (1997);1997;5.1 ;1997-05-09
2647506;Gallipoli (1981);1981;7.5 ;1981-08-28
2680294;Hamlet (1990);1990;6.8 ;1991-01-18
2850797;Lethal Weapon (1987);1987;7.6 ;1987-03-06
2879851;Machete Kills (2013);2013;5.6 ;2013-10-11
3003387;Paparazzi (2004);2004;5.8 ;2004-09-03
3314895;The Year of Living Dangerously (1982);1982;7.2 ;1983-01-21
3395202;We Were Soldiers (2002);2002;7.1 ;2002-03-01
2487929;Coming Home (1978);1978;7.3 ;1978-02-15
3203024;The Act (1984);1984;4.7 ;1984-08-01
3320907;Three Kinds of Heat (1987);1987;4.2 ;1987-06-01
2426330;Blown Away (1994);1994;6.1 ;1994-07-01
2637929;Freedom (2014/II);2014;5.2 ;2015-06-05
2706707;Home on the Range (2004);2004;5.4 ;2004-04-02
2879851;Machete Kills (2013);2013;5.6 ;2013-10-11
2905301;Men of Honor (2000);2000;7.1 ;2000-11-10
2316895;A Look at Liv (1979);1979;8.1 ;1979-01-01
2947346;Narrow Margin (1990);1990;6.5 ;1990-09-21
3281237;The Poseidon Adventure (1972);1972;7.1 ;1972-12-13
2422389;Blade Runner (1982);1982;8.2 ;1982-06-25
2430734;Bone Daddy (1998);1998;5.3 ;1998-06-19
2490841;Confessions of a Dangerous Mind (2002);2002;7.1 ;2003-01-24
2731373;Il futuro (2013);2013;5.8 ;2013-09-06
3048700;Pusteblume (1974);1974;5.8 ;1984-01-01
3212980;The Blood of Heroes (1989);1989;6.5 ;1990-02-23
3391168;Wanted: Dead or Alive (1987);1987;5.9 ;1987-01-16
2659863;Giuseppe venduto dai fratelli (1961);1961;5.8 ;1962-12-01
2682883;Happy Feet (2006);2006;6.5 ;2006-11-17
2325070;A Time to Kill (1996);1996;7.4 ;1996-07-24
2398427;Basic (2003);2003;6.5 ;2003-03-28
2905448;Menace II Society (1993);1993;7.5 ;1993-05-26
3191147;Tarzan (2016);2016;7.1 ;2016-07-01
3244411;The Great White Hype (1996);1996;5.4 ;1996-05-03
3362815;Unforgivable Blackness: The Rise and Fall of Jack Johnson (2004);2004;8.4 ;2005-01-17
3436372;xXx (2002);2002;5.8 ;2002-08-09
2644454;Furious 6 (2013);2013;7.2 ;2013-05-24
2654709;Get Smart (2008);2008;6.5 ;2008-06-20
2694908;Hercules (2014/I);2014;6.1 ;2014-07-25
2844072;Lennon or McCartney (2014);2014;5.5 ;2014-12-12
3000034;Pain & Gain (2013);2013;6.5 ;2013-04-26
3024619;Planet 51 (2009);2009;6.1 ;2009-11-20
3054759;Race to Witch Mountain (2009);2009;5.7 ;2009-03-13
3095735;San Andreas (2015);2015;6.5 ;2015-05-29
2426330;Blown Away (1994);1994;6.1 ;1994-07-01
2427053;Blue Sky (1994);1994;6.4 ;1994-09-16
2756861;Jackson County Jail (1976);1976;6.1 ;1976-04-01
2905226;Men in Black II (2002);2002;6.1 ;2002-07-03
2961035;No Country for Old Men (2007);2007;8.1 ;2007-11-21
3239228;The Fugitive (1993);1993;7.8 ;1993-08-06
3124098;Shin Zatôichi monogatari: Oreta tsue (1972);1972;7.1 ;1973-02-21
2624215;First Daughter (2004);2004;4.9 ;2004-09-24
2914353;Minions (2015);2015;6.7 ;2015-07-10
2932607;Multiplicity (1996);1996;5.9 ;1996-07-17
2985366;One Good Cop (1991);1991;5.8 ;1991-05-03
3297505;The Squeeze (1987);1987;4.5 ;1987-07-10
2341973;Aitraaz (2004);2004;6.6 ;2004-11-12
